block,pin,signal,to,notes
U1 — STM32G431CBT6 support,21 · 20,VDDA · VREF+,VDDA,C11 C12 C13
U1 — STM32G431CBT6 support,23 · 35 · 47,VSS,GND,
U1 — STM32G431CBT6 support,19,VSSA,GND,
U1 — STM32G431CBT6 support,PF0 / PF1,Y1 8 MHz,C1 C2 30 pF to GND,HSE drive = high (20 pF crystal)
U1 — STM32G431CBT6 support,NRST,C17 100 nF to GND,,
U1 — STM32G431CBT6 support,PB8 (BOOT0),R1 10 k to GND,test point,
U1 — STM32G431CBT6 support,PA2,VBUS ÷ 10.1,R4 + R5 (10 k) from VBUS; R6 (2.2 k) to GND,ADC1_IN3
U1 — STM32G431CBT6 support,PA3,NTC node,R3 (10 k) from 3V3; J3.5,ADC1_IN4
U1 — STM32G431CBT6 support,PA0,ISENSE_A,U3 OUT via R21 (0 Ω); C19 DNP to GND,ADC1_IN1
U1 — STM32G431CBT6 support,PA1,ISENSE_B,U4 OUT via R22 (0 Ω); C20 DNP to GND,ADC2_IN2
U1 — STM32G431CBT6 support,PA13 / PA14,SWDIO / SWCLK,J11.2 / J11.3,
U1 — STM32G431CBT6 support,PB3 / PB4,UART TX / RX,J12.1 / J12.2,
U1 — STM32G431CBT6 support,PB9,STATUS_LED,R10 (2.2 k) → LED2 → GND,
U1 — STM32G431CBT6 support,PC13 / PC14 / PC15,NODE_ID0-2,R11–R13 (2.2 k) to GND; R17–R19 (0 Ω) to 3V3,strap = bit set
U1 — STM32G431CBT6 support,PB6 / PB7,I2C1 SCL / SDA,J3.3 / J3.4; R7 R8 (4.7 k) to 3V3 DNP,AS5600 @0x36
U1 — STM32G431CBT6 support,PA4 / PA15,CS_A / CS_B,J4.3 / J5.3,idle high
U1 — STM32G431CBT6 support,PA5 / PA6 / PA7,SCK / MISO / MOSI,J4.4-6 and J5.4-6 in parallel,SPI1
U1 — STM32G431CBT6 support,PA12 / PA11,CAN TX / RX,U2 D (pin 1) / U2 R (pin 4),FDCAN1
U3 — INA240A1D (phase A),8,IN+,A+ = RS1 pad on the Mini side (Kelvin trace from the pad edge),IN+ on the Mini side means positive current into the motor reads above 1.65 V
U3 — INA240A1D (phase A),1,IN−,A− = RS1 pad on the motor side (Kelvin trace),CAUTION pin 1 is the INVERTING input — the package is not numbered IN+ first
U3 — INA240A1D (phase A),2,GND,GND,
U3 — INA240A1D (phase A),4,GND,GND,pin 4 is a second GND on the D package
U3 — INA240A1D (phase A),3,REF2,GND,
U3 — INA240A1D (phase A),7,REF1,3V3,REF1 = VS with REF2 = GND puts the output at VS/2 = 1.65 V at zero current
U3 — INA240A1D (phase A),6,V+,3V3,C14 100 nF to GND
U3 — INA240A1D (phase A),5,OUT,ISENSE_A via R21 (0 Ω); C19 DNP to GND,0.60 V/A ±2.5 A -> U1 PA0
U4 — INA240A1D (phase B),8,IN+,B+ = RS2 pad on the Mini side,
U4 — INA240A1D (phase B),1,IN−,B− = RS2 pad on the motor side,
U4 — INA240A1D (phase B),2 · 4,GND,GND,
U4 — INA240A1D (phase B),3,REF2,GND,
U4 — INA240A1D (phase B),7,REF1,3V3,
U4 — INA240A1D (phase B),6,V+,3V3,C15 100 nF to GND
U4 — INA240A1D (phase B),5,OUT,ISENSE_B via R22 (0 Ω); C20 DNP to GND,-> U1 PA1
U2 — SN65HVD230 (SOIC-8),1,D,U1 PA12 (FDCAN1_TX),
U2 — SN65HVD230 (SOIC-8),2,GND,GND,
U2 — SN65HVD230 (SOIC-8),3,VCC,3V3; C16 100 nF to GND,
U2 — SN65HVD230 (SOIC-8),4,R,U1 PA11 (FDCAN1_RX),
U2 — SN65HVD230 (SOIC-8),5,Vref,not connected,also the NC pad for a TCAN332
U2 — SN65HVD230 (SOIC-8),6,CANL,J9.2 · J10.2 · R14/R15,
U2 — SN65HVD230 (SOIC-8),7,CANH,J9.1 · J10.1 · R14/R15,
U2 — SN65HVD230 (SOIC-8),8,RS,R16 (0 Ω) to GND,high-speed mode (STB low on a TCAN332)
J9 / J10 — CAN in / out (JST-XH 3P),1,CANH,U2.7 (paralleled),
J9 / J10 — CAN in / out (JST-XH 3P),2,CANL,U2.6 (paralleled),
J9 / J10 — CAN in / out (JST-XH 3P),3,GND,GND,
CAN termination,R15 → R14,CANH → CANL,0 Ω + 120 Ω,populate on the two bus ends only
J2 — motor (JST-XH 3P),1,A,RS1 motor side,
J2 — motor (JST-XH 3P),2,B,RS2 motor side,
J2 — motor (JST-XH 3P),3,C,J8.1 (Mini OUT3),
J3 — encoder + NTC (JST-XH 5P),1,3V3,3V3,AS5600 board at 3.3 V
J3 — encoder + NTC (JST-XH 5P),2,GND,GND,
J3 — encoder + NTC (JST-XH 5P),3,SCL,U1 PB6,
J3 — encoder + NTC (JST-XH 5P),4,SDA,U1 PB7,
J3 — encoder + NTC (JST-XH 5P),5,NTC,U1 PA3 node (R3 to 3V3),thermistor from this pin to GND at the motor
J4 — SPI_A (1×6),1,3V3,3V3,motor-side SPI encoder (future)
J4 — SPI_A (1×6),2,GND,GND,
J4 — SPI_A (1×6),3,CS_A,U1 PA4,
J4 — SPI_A (1×6),4,SCK,U1 PA5,
J4 — SPI_A (1×6),5,MISO,U1 PA6,
J4 — SPI_A (1×6),6,MOSI,U1 PA7,
J5 — SPI_B (1×6),1,3V3,3V3,output-side absolute encoder
J5 — SPI_B (1×6),2,GND,GND,
J5 — SPI_B (1×6),3,CS_B,U1 PA15,
J5 — SPI_B (1×6),4,SCK,U1 PA5,
J5 — SPI_B (1×6),5,MISO,U1 PA6,
J5 — SPI_B (1×6),6,MOSI,U1 PA7,
J11 — SWD (1×4),1,3V3,3V3,
J11 — SWD (1×4),2,SWDIO,U1 PA13,
J11 — SWD (1×4),3,SWCLK,U1 PA14,
J11 — SWD (1×4),4,GND,GND,
J12 — UART (1×3),1,TX,U1 PB3,
J12 — UART (1×3),2,RX,U1 PB4,
J12 — UART (1×3),3,GND,GND,
